,Unnamed: 0,Newspaper,Date,Reviewer,Title,Theatre,Review
10,10,Ought To Be Clowns,17/08/2014,Ian,Laughing Matters with Celia Imrie, St James Studio,
11,11,Ought To Be Clowns,02/03/2019,Ian,The Importance of Being Earnest, Tara Arts,"In so many ways, it is a real shame that it is only now, after Classic Spring’s year-long West End Oscar Wilde season, that we’re seeing theatre companies finally showing some real invention and daring in reinterpreting his work. For all their star-studded casts, these were largely faithfully traditional renditions that did little to stir any real excitement. To be fair, these aren’t plays that lend themselves easily to being lifted out of their very specific social milieu. But equally, it is difficult to get too enthused about endless identikit revivals. Which is a long-winded way of saying I was most excited to go see Two Gents and Tara Arts’ production of The Importance of Being Earnest which remakes the show as a two-hander for 2 British-African women. It’s an entirely fresh take and a bold move and its one which often pays dividends. Directors Arne Pohlmeier and Tonderai Munyevu don’t so much dismantle the fourth wall as never even acknowledge it ever existed (shy people should avoid the front row) and thoroughly reimagine the play in the kind of contemporary multicultural context that frankly deserves West End audiences."
12,12,Ought To Be Clowns,11/10/2014,Ian,The Distance, Orange Tree,"Paul Miller’s subtle reinvention of the Orange Tree continues apace with Deborah Bruce’s The Distance, an exploration of a more complex side to parenting and friendship that is challenged when one of their group suddenly returns from Australia. Bea emigrated there to get married and have two beautiful kids but she’s turned up on best friend Kate’s Sussex doorstep alone and with their other good friend Alex also there to lend support, they to sort out Bea’s life for her, little suspecting what it is that Bea has actually done. Truth be told, I wasn’t the hugest fan of Bruce’s first play Godchild which premiered downstairs at Hampstead last year but the chance to see Helen Baxendale return to the stage tempted me over to Richmond. There’s much to appreciate in the amusing and frank way Bruce depicts how parenthood, and different experiences thereof, affects the tight bonds of friendship. The ease with which Baxendale’s Bea, Clare Lawrence-Moody’s Kate and Emma Beattie’s Alex interact with each other is brilliantly portrayed as they bicker and banter and nurture and natter – their lives don’t stop because of Bea’s dilemma, it just has to fit into the tumble of jigsaw pieces that makes up the hustle and bustle of everyday living and so gets added to the ever-growing list of things that need to get sorted. The inclusion of the London riots is a canny move here, not as a focal point for the play but just a backdrop of a world still spinning. And with everyone having their own set of internal priorities, their approaches differ. As a relatively new mother who struggled through years of IVF, Kate cannot conceive of a world that is not predicated on the expression of maternal love and that drives her every action; whilst Alex, a single mother of three boys including a winsome teenager Liam, is more open to letting Bea – and pretty much anyone – do what they want. On top of that though, Bea’s putative articulation of exactly what it is she has decided still comes as an eye-opener, the deviation from the societal norm highly intriguing in Baxendale’s well-modulated performance."
13,13,Ought To Be Clowns,31/10/2015,mag9l,The State Vs John Hayes, King’s Head,"More of us have voices in our head than we would care to admit but how many of us truly give them the time of day. Sitting in her cell on Death Row, Elyese Dukie is one such person, accused of the murder of two people but adamant that John Hayes was responsible, and it is Hayes’ face who looks back at her from the mirror and who we first meet in The State Vs John Hayes, now playing at the King’s Head Theatre as part of their new writing festival. Developed out of extensive research into female killers, this one-woman show is written and performed by Lucy Roslyn and is hauntingly effective. In this Texas prison cell, this complex character ricochets between extremes, between John and Elyese, as we delve into the interior life she won’t reveal to the courts or the psychiatrists, drawing ever closer to horrible truths borne of lifelong exposure to violence and the desperation to conform to societal norms. It’s an extraordinary physical performance from Roslyn, cleverly enhanced by Sherry Coenen’s lighting, as the two facets of her self are delineated but also marked as two ends of the same gender-fluid spectrum as opposed to two separate personae. This distinction becomes important later on, as her mental composure begins to crack, inspiring as much fear as compassion with Roslyn’s confrontational direct address leaving us nowhere to turn."
14,14,Ought To Be Clowns,18/03/2019,Ian,Romance Romance, Above the Stag,"Romance Romance was nominated for 5 Tonys in 1988 and performance nods aside, you have to wonder what the standard of the other nominees was (actually, they included The Phantom of the Opera and Into the Woods…!) as its charms really rather eluded me.  Steven Dexter’s production reframes Barry Harman’s book and lyrics into a gay context which certainly has interest. But the disparity of the two acts, based respectively on Arthur Schnitzler’s The Little Comedy and Jules Renard’s Le Pain de Ménage, means it is a curiously disengaging watch. Whether it is the rich Viennese men pretending to be poor or the rich Hamptonites toying with abandoning their marital vows, it’s hard to fall in love with either of these gay love stories. A committed cast – Blair Robertson and Jordan Lee Davies, Alex Lodge and Ryan Anderson – do their best but it’s all a little *shrug emoji*."
15,15,Ought To Be Clowns,13/12/2017,Ian,A Curmudgeon’s Guide to Christmas Round Robin Letters, Hope,
16,16,Ought To Be Clowns,29/10/2015,mag9l,The Hairy Ape, Old Vic,"Fans of Bertie Carvel have certainly been rewarded with his recent burst of activity – he starred in Bakkhai at the Almeida, had a major role in BBC drama Doctor Foster and now returns to the theatre to lead this revival of Eugene O’Neill’s play The Hairy Ape. The play is described as a classic expressionist masterpiece and whilst that might be overstating things ever so slightly, it does give a useful pointer to the heightened theatricality of the drama and of Richard Jones’ production. My 4 star review for Cheap Theatre Tickets can be read here.  "
17,17,Ought To Be Clowns,06/10/2016,mag9l,The Tempest, Donmar at King’s Cross,"A slightly odd one this, the Donmar’s all-female adaptation of The Tempest opened at the King’s Cross Theatre late last month, but from what I can tell won’t be officially reviewed until 22nd November. The reasoning being that it is part of their Shakespeare Trilogy (productions of Julius Caesar from 28th October and Henry IV from 17th November are being remounted) and on select days, audiences can see all three back-to-back. And that is how director Phyllida Lloyd wants them to be critically reviewed, as an over-arching trilogy, which is all fine and good but tickets are either £90 or £120 for those days and I ain’t here for that (that said, if you’re 25 and under, 25% of the tickets are being made free due to this great scheme). So the majority of people seeing The Tempest will only see The Tempest and that’s why I’m writing this review now. For this enterprise, the Donmar has decamped to the King’s Cross Theatre and a well-designed temporary space there (sightlines from the back row – F – are fine and dandy) with the audience seated on all four sides of the theatre. The sense of blank newness is perfectly suited to the institutional setting – Lloyd has returned to the prison set-up that has previously served so well – and retained several members of the ensemble including crucially, the glorious Harriet Walter, who has thrived on the opportunity to expand her already superlative Shakespearean experience. So from Brutus to Henry IV, she now ascends to take on the role of Prospero. Or rather, a lifer who is playing the part of the sorcerer. And you suspect that this is what Lloyd wants emphasise for the critics, the arc of this particular prisoner and the changing dynamic she experiences with her cellmates. With this in mind, Prospero’s confinement on the island and authoritarian relationships with Ariel and Caliban gain a new resonance, the giving up of daughter Miranda representing a different power shift, all making the weariness of soul an aching sadness so easily appreciated. And to hear Walter’s masterful verse-reading crack with emotion through “we are such stuff as dreams are made on” thus becomes the kind of theatrical triumph one will never forget."
18,18,Ought To Be Clowns,03/04/2020,Ian,CASES, The Other Palace,"Written by Dominic Powell and due to star Maiya Quansah-Breed, Sabrina Aloueche, Andrew Patrick-Walker and Adrian Hanse, CASES is a new musical “exploring the triumphs, heartbreaks and sacrifices involved in the pursuit of art, where the commercial world collides with the underground and fame becomes a high price to pay”. It premiered at the Phoenix Arts Club in 2017 but this new production, directed by Grace Taylor, features a new score and new songs and technology being what it is these days, we have a taste of two of them below, which should whet the appetite for when the show is able to resurface.    For Cases
You can follow the show on Twitter here, and on Instagram here
You can also find Pioneer Arts Media on YouTube here"
19,19,Ought To Be Clowns,10/07/2013,Ian,Untitled Matriarch Play (Or Seven Sisters), Royal Court,"As we get closer to the end of the weekly rep season, I’d love to be able to say that the over-arching conceit of the whole affair has been revealed in a moment of stunning clarity, but instead it just trundles on as a bold experiment which has had just as many misses as it has had hits. Play number five – Nikole Beckwith’s Untitled Matriarch Play (or Seven Sisters) – was closer to the former than the latter for me – a decent concept but one besmirched by an over-extended, over-worked stab at something interesting that rarely comes off. The play begins in Nowheresville USA with Siobhan Redmond’s Lorraine gathering her ageing mother and her four-strong brood of daughters to reveal that she is going to have another baby, and this time it will be a boy. This comes as something of a surprise as Lorraine is 54, so she is employing a surrogate in the form of Angela Terence’s Sera, but her decision awakens a whole host of dissatisfactions in these women as the situation highlights the frustrations they all hold. And when Beckwith focuses on this, she mainly succeeds. The fractious sibling relationships are a delight to behold – Debbie Chazen’s bumbag-wearing Karen fearing she’s over the hill (at 35) as the oldest, Natasha Gordon’s Mimi the most outwardly self-possessed yet still insecure about so much, and Laura Elphinstone’s Claire a neurotic, typical middle-child, forever ‘not being told anything’. Oh and the always-ignored baby of the family, Farzana Dua Elahe’s Beckah. All single and childless, their mother’s choice forces them to confront the state of their lives and how they all feel out of sorts with each other and the world around them."
20,20,Ought To Be Clowns,07/09/2017,Ian,Mamma Mia, Novello,"18 years since it opened, Mamma Mia continues to tempt people to the island as it now ranks as the seventh-longest running show in the West End. It recently welcomed a new cast into the Novello and I got the opportunity to revisit this stalwart this week (only for the second time actually, here’s my review from 2014). I’ll post a link to my three star review once it gets published."
21,21,Ought To Be Clowns,13/03/2015,mag9l,How I Learned To Drive, Southwark Playhouse,"I’ve always liked Olivia Poulet as an actor but after seeing her starring turn as Li’l Bit in Paula Vogel’s How I Learned To Drive, I’m really rating her now as one not to ignore. It helps that Vogel’s play is supremely well-written, skilfully questioning preconceptions about sexually abusive relationships and their ghastly dynamic through a playful format which manages to layer in humour and pathos to prevent it from being a truly dark night of the soul. It doesn’t mean that this is by any means an easy watch. We see Poulet’s 40-year-old Li’l Bit narrate the experiences of her childhood both as a young girl and as a teenager in a backwoods Maryland town with a great sense of a natural-born raconteur. It’s hard not to be seduced by the stories that roll from her tongue but we soon come to taste the sour beneath the whiskey-heavy breath as the complexity of her relationship with her Uncle Peck slowly comes to light."
22,22,Ought To Be Clowns,20/01/2010,Ian,Silence! The Musical, Above the Stag,"Silence! The Musical is described as ‘the unauthorised parody of The Silence of the Lambs‘ and grew from a collection of songs posted on the internet into an off-Broadway show in 2005. It had a two week run in Baron’s Court last year, but this version at the Above the Stag theatre above a Victoria gay bar is billed as the European professional premiere: it has added new material getting its first airing and retains the original director from New York, Christopher Gatelli. It does what is says on the tin, it’s a relatively faithful rerun of the events of the film where trainee FBI agent Clarice Starling is pressed into interviewing notorious psychiatrist and serial killer Hannibal Lecter in prison in order to help catch another serial killer Buffalo Bill. However, it is mercilessly and hilariously parodied throughout with a book by Hunter Bell and music and lyrics by Jon & Al Kaplan and a chorus of singing and dancing lambs. Incredibly rude in places, with some song titles I dare not mention on here, but oddly enough these weren’t always the funniest parts of the show. It is the attention to detail that had me in stitches for large stretches of the show: the chalk dust signifying the arrival of the dead dad, the pictures in Lecter’s cell, the mask he uses to escape, the little tango kicks in ‘Quid Pro Quo’, all small things but excellently executed and all adding together to great comic effect. It reminded me of the film Airplane in that respect, jam-packed of visual gags as well as clever writing, the scenes with Clarice jogging past other FBI trainees and then walking past prisoners to get to Lecter were both really funny. Key to the success of fringe shows, musicals in particular, is the enthusiasm of the cast, and here there’s no problem whatsoever. Everyone pitches in with a maximum of effort and I loved that everyone appeared as part of the lamb chorus at some point, even the Lecter-playing Miles Western, as creepy a lamb as you will ever see. As the Chianti-supping Doctor, Western is brilliant, suggesting a world of insanity with his eyes and a good clear singing voice, always vital when singing unfamiliar songs. Fabian Hartwell’s Buffalo Bill was also good, even if I wish he hadn’t telegraphed his grand ‘reveal’ quite so much. Tory Ross as Clarice is rightly the star of the show though. Clearly having a ball onstage, she got laughs with practically every line and gesture in a marvellously assured performance, and a great sense of comic timing. It’s hard to pick a favourite moment of hers, but the fat girl joke sequence really was superb. Being a first preview, I’m sure the choreographing of the moving panels will become a lot smoother, but I would recommend a little more incidental music or different flooring as they were often excessively noisy when being repositioned. And a couple of the performers need to adjust their pitching, their voices were too quiet even for this intimate venue. But with six weeks to run, I’m sure everything will settle nicely and this ought to become a good success, it really is as funny as anything in the West End. movies everyone should see – http://www.movieseveryoneshouldsee.com/the-silence-of-the-lambs-1991/"
23,23,Ought To Be Clowns,19/04/2014,mag9l,A Spoonful of Sugar, St James,"Nostalgia can be a lovely thing to bathe in and when it comes to the music of the Sherman Brothers, there’s an ocean of it. Robert and Richard Sherman can lay claim to being one of the most successful songwriting partnerships ever, taking Hollywood by storm with such iconic soundtracks as Mary Poppins, The Jungle Book and Chitty Chitty Bang Bang to name just a few, in a career that has stretched over 60 years, even 90 if one includes their father Al who was a noted songwriter in his own right. To really make it a family affair, A Spoonful of Sherman is hosted by Robert’s son Robbie who acts as compère throughout, drawing the narrative line from the beginning of the twentieth century right up to the present day as of course, he is a composer himself as well. Sadly, Sherman Junior is probably the weakest link of the evening, the unique insight that he could have brought to bear is largely conspicuous by its absence and he feels ill-suited to the task, one can tell this is not his natural oeuvre. Fortunately, the company of four who perform the songs – Emma Williams, Charlotte Wakefield, Stuart Matthew Price and Greg Castiglioni – are eminently at home here in the intimate cabaret surroundings of the St James Studio. Musical director, arranger and pianist on the night Colin Billing completes the set beautifully and it is clear the joy that they all get in working their way through a stunning catalogue of songs. "
